gpt41_mini_sentiment,gpt41_mini_confidence
Neutral,0.85
Neutral,0.85
Positive,0.8
Positive,0.8
Neutral,0.7
Positive,0.85
Neutral,0.8
Negative,0.9
Positive,0.85
Neutral,0.85
Neutral,0.8
Neutral,0.85
Negative,0.75
Neutral,0.8
,
Neutral,0.8
Positive,0.8
Neutral,0.85
Neutral,0.8
Neutral,0.75
Positive,0.85
Positive,0.85
Neutral,0.8
Negative,0.85
Neutral,0.8
Positive,0.85
Positive,0.8
,
,
Negative,0.85
Neutral,0.8
Positive,0.85
Neutral,0.8
Negative,0.85
Positive,0.9
Negative,0.9
Negative,0.85
Positive,0.85
Neutral,0.85
Positive,0.85
Neutral,0.8
Positive,0.85
Positive,0.85
Positive,0.85
Positive,0.85
Neutral,0.85
Positive,0.85
Positive,0.9
Negative,0.85
,
Neutral,0.8
Positive,0.8
Positive,0.9
Neutral,0.85
Neutral,0.8
Negative,0.8
Positive,0.85
Positive,0.85
Positive,0.85
Neutral,0.85
Neutral,0.8
Neutral,0.8
Negative,0.85
Positive,0.85
Positive,0.8
Neutral,0.85
Positive,0.9
Positive,0.85
Positive,0.85
Neutral,0.8
Neutral,0.8
Neutral,0.85
Positive,0.8
Negative,0.95
Negative,0.85
Positive,0.8
Neutral,0.85
,
Positive,0.8
Negative,0.85
Positive,0.85
Positive,0.9
Positive,0.9
Neutral,0.85
Negative,0.85
Neutral,0.75
Positive,0.9
Neutral,0.8
Neutral,0.85
Positive,0.9
Positive,0.85
Positive,0.85
Neutral,0.8
Negative,0.85
Negative,0.85
Positive,0.85
Positive,0.9
Positive,0.9
Negative,0.85
Positive,0.85
Positive,0.8
Negative,0.9
Negative,0.85
Positive,0.9
Neutral,0.85
Neutral,0.8
Neutral,0.8
Negative,0.75
Negative,0.85
Neutral,0.85
Negative,0.85
Positive,0.85
Negative,0.85
Neutral,0.7
Positive,0.85
Positive,0.85
Neutral,0.8
Negative,0.85
Positive,0.85
Neutral,0.85
Neutral,0.9
Neutral,0.85
Negative,0.85
Positive,0.9
Neutral,0.85
Negative,0.85
Negative,0.85
Positive,0.85
Positive,0.85
Positive,0.9
Negative,0.9
Positive,0.85
Neutral,0.8
Neutral,0.9
Positive,0.85
Neutral,0.8
Neutral,0.85
Positive,0.85
Positive,0.85
Neutral,0.8
Positive,0.8
Negative,0.85
Positive,0.85
Positive,0.8
Negative,0.8
Positive,0.85
Negative,0.9
Neutral,0.85
Neutral,0.85
Positive,0.85
Negative,0.85
Positive,0.8
Positive,0.8
Positive,0.85
Neutral,0.8
Positive,0.8
Positive,0.85
,
Positive,0.75
Negative,0.95
Positive,0.85
Positive,0.9
,
Negative,0.85
Neutral,0.85
Negative,0.75
Positive,0.85
Positive,0.8
Negative,0.85
Neutral,0.8
Positive,0.85
Positive,0.85
,
Positive,0.85
Positive,0.9
Positive,0.9
Positive,0.75
Positive,0.85
,
,
Neutral,0.8
Negative,0.85
,
Negative,0.95
Negative,0.85
Neutral,0.85
Neutral,0.8
Neutral,0.8
Neutral,0.8
Positive,0.75
,
Negative,0.8
Positive,0.95
Neutral,0.8
Positive,0.8
,
Negative,0.8
Negative,0.85
Neutral,0.8
Positive,0.8
Negative,0.9
Positive,0.85
Neutral,0.8
Negative,0.85
Neutral,0.8
Neutral,0.8
Negative,0.85
Neutral,0.8
,
Positive,0.85
Neutral,0.8
Positive,0.9
Negative,0.85
Neutral,0.85
Neutral,0.8
,
Positive,0.85
Neutral,0.8
Negative,0.85
Neutral,0.8
Neutral,0.85
Neutral,0.8
Negative,0.85
Neutral,0.85
Negative,0.85
Neutral,0.85
Positive,0.9
Neutral,0.8
Positive,0.9
Negative,0.85
Positive,0.8
Neutral,0.8
Positive,0.8
Neutral,0.8
Positive,0.9
Neutral,0.8
Positive,0.9
Positive,0.9
Negative,0.9
Negative,0.85
,
Negative,0.85
Positive,0.9
Positive,0.85
Neutral,0.8
Neutral,0.8
Positive,0.85
Positive,0.75
Neutral,0.8
Positive,0.9
Positive,0.8
Negative,0.95
Positive,0.85
Negative,0.85
Negative,0.85
Negative,0.85
Neutral,0.75
,
Neutral,0.85
Negative,0.9
Neutral,0.85
,
Neutral,0.85
Neutral,0.8
,
Neutral,0.8
Positive,0.85
Positive,0.85
Positive,0.85
Negative,0.75
Neutral,0.8
Negative,0.85
Positive,0.9
Positive,0.9
Positive,0.85
Negative,0.9
Positive,0.85
Positive,0.75
Neutral,0.85
Neutral,0.85
Positive,0.85
Neutral,0.8
Positive,0.9
Neutral,0.85
Neutral,0.75
Positive,0.85
Positive,0.85
Positive,0.85
Neutral,0.8
Negative,0.95
Neutral,0.8
Neutral,0.8
Negative,0.85
Negative,0.85
Neutral,0.85
Negative,0.85
Negative,0.95
Positive,0.95
Negative,0.85
Negative,0.95
