gpt5_sentiment,gpt5_confidence
Neutral,0.71
Negative,0.82
Positive,0.74
Positive,0.78
Neutral,0.64
Positive,0.84
Neutral,0.7
Negative,0.93
Positive,0.86
Negative,0.68
Neutral,0.66
Neutral,0.74
Negative,0.8
Negative,0.61
Positive,0.96
Neutral,0.68
Positive,0.73
Neutral,0.63
Positive,0.7
Positive,0.83
Positive,0.9
Positive,0.68
Neutral,0.61
Negative,0.93
Neutral,0.68
Positive,0.84
Positive,0.84
Positive,0.89
Positive,0.91
Negative,0.9
Neutral,0.74
Positive,0.88
Negative,0.64
Negative,0.86
Positive,0.9
Negative,0.94
Negative,0.91
Positive,0.8
Neutral,0.76
Positive,0.88
Neutral,0.82
Positive,0.82
Positive,0.74
Positive,0.8
Positive,0.8
Negative,0.64
Positive,0.75
Positive,0.82
Negative,0.65
Positive,0.93
Neutral,0.76
Neutral,0.62
Positive,0.9
Positive,0.73
Neutral,0.66
Negative,0.74
Positive,0.84
Positive,0.83
Positive,0.94
Neutral,0.73
Neutral,0.78
Positive,0.69
Negative,0.9
Positive,0.78
Positive,0.84
Neutral,0.64
Positive,0.9
Positive,0.9
Positive,0.83
Neutral,0.63
Negative,0.76
Neutral,0.83
Positive,0.76
Negative,0.96
Negative,0.88
Positive,0.84
Negative,0.7
Positive,0.89
Neutral,0.76
Negative,0.83
Positive,0.84
Positive,0.93
Positive,0.9
Negative,0.7
Negative,0.86
Neutral,0.64
Positive,0.9
Neutral,0.69
Negative,0.73
Positive,0.93
Positive,0.74
Positive,0.84
Neutral,0.66
Negative,0.82
Negative,0.82
Neutral,0.66
Positive,0.93
Positive,0.88
Neutral,0.62
Positive,0.86
Positive,0.73
Negative,0.9
Negative,0.83
Positive,0.86
Negative,0.64
Negative,0.64
Negative,0.73
Negative,0.74
Negative,0.88
Neutral,0.6
Negative,0.82
Positive,0.82
Negative,0.86
Neutral,0.62
Positive,0.84
Positive,0.73
Neutral,0.66
Negative,0.93
Positive,0.9
Negative,0.66
Neutral,0.93
Neutral,0.69
Negative,0.86
Positive,0.94
Neutral,0.72
Negative,0.9
Negative,0.9
Positive,0.68
Positive,0.9
Positive,0.9
Negative,0.87
Positive,0.78
Neutral,0.72
Neutral,0.94
Positive,0.8
Neutral,0.72
Neutral,0.64
Positive,0.88
Positive,0.81
Positive,0.71
Positive,0.73
Negative,0.83
Positive,0.84
Positive,0.73
Neutral,0.62
Positive,0.88
Negative,0.87
Negative,0.7
Negative,0.72
Neutral,0.66
Negative,0.93
Positive,0.69
Positive,0.75
Positive,0.82
Neutral,0.64
Positive,0.7
Positive,0.77
Positive,0.94
Neutral,0.65
Negative,0.96
Neutral,0.68
Positive,0.93
Negative,0.93
Negative,0.91
Negative,0.64
Negative,0.86
Positive,0.84
Positive,0.84
Negative,0.68
Negative,0.73
Positive,0.86
Positive,0.88
Positive,0.94
Neutral,0.68
Positive,0.93
Positive,0.9
Neutral,0.63
Neutral,0.62
Negative,0.91
Positive,0.95
Positive,0.8
Negative,0.89
Negative,0.94
Negative,0.96
Negative,0.82
Neutral,0.86
Neutral,0.64
Negative,0.64
Neutral,0.63
Neutral,0.66
Negative,0.91
Neutral,0.64
Positive,0.97
Neutral,0.62
Neutral,0.79
Negative,0.93
Negative,0.9
Neutral,0.63
Negative,0.68
Neutral,0.66
Negative,0.86
Positive,0.82
Neutral,0.66
Negative,0.87
Neutral,0.64
Neutral,0.64
Negative,0.9
Neutral,0.64
Negative,0.9
Positive,0.91
Neutral,0.8
Positive,0.81
Negative,0.9
Neutral,0.78
Neutral,0.66
Positive,0.94
Positive,0.84
Negative,0.72
Negative,0.88
Neutral,0.66
Neutral,0.64
Neutral,0.64
Negative,0.78
Negative,0.78
Negative,0.94
Negative,0.78
Positive,0.9
Neutral,0.63
Positive,0.9
Negative,0.92
Neutral,0.63
Neutral,0.72
Neutral,0.84
Neutral,0.74
Positive,0.9
Negative,0.77
Positive,0.93
Positive,0.9
Negative,0.87
Negative,0.88
Positive,0.93
Negative,0.84
Positive,0.95
Positive,0.9
Neutral,0.75
Neutral,0.62
Positive,0.9
Positive,0.64
Positive,0.64
Positive,0.96
Positive,0.79
Negative,0.91
Positive,0.78
Negative,0.92
Negative,0.82
Negative,0.78
Positive,0.67
Negative,0.95
Neutral,0.82
Negative,0.96
Neutral,0.74
Negative,0.97
Neutral,0.76
Neutral,0.64
Positive,0.96
Negative,0.7
Positive,0.74
Positive,0.9
Positive,0.88
Negative,0.7
Negative,0.7
Negative,0.87
Positive,0.87
Positive,0.9
Positive,0.88
Negative,0.93
Positive,0.89
Positive,0.74
Neutral,0.68
Neutral,0.63
Positive,0.7
Positive,0.86
Positive,0.86
Neutral,0.69
Positive,0.82
Positive,0.86
Positive,0.9
Positive,0.92
Neutral,0.64
Negative,0.96
Negative,0.78
Positive,0.78
Negative,0.88
Neutral,0.62
Negative,0.78
Negative,0.87
Negative,0.95
Positive,0.96
Positive,0.7
Negative,0.97
